tier,sound_asset_id,required_variants,prompt_variant,gameplay_purpose,elevenlabs_prompt,duration_seconds,comfyui_complete
P0,run_count_tick,1,single_prompt,Starts rehearsal and scored play with an unambiguous count that does not continue as an added metronome.,"Clean magical percussion tick, precise and dry, 0.15 seconds, no reverb.",0.3,true
P0,run_count_go,1,single_prompt,Starts rehearsal and scored play with an unambiguous count that does not continue as an added metronome.,"Bright magical start hit with a tiny upward shimmer, decisive, 0.4 seconds.",0.8,false
P0,arena_phrase_reveal,2,single_prompt,Announces that a complete static phrase is available without counting every step for the player.,"Soft cyan energy constellation unfolds, anticipatory shimmer, clean, 0.6 seconds.",1.2,false
P0,player_input_ack,3,single_prompt,"Immediate, very short response at button-down before any scheduled projectile contact.","Tiny crisp energy pluck for instant button feedback, dry, 0.1 seconds.",0.2,false
P0,player_perform_contact_good,2,single_prompt,Restrained successful boss contact for a Good judgment.,"Small cyan energy bolt hits a huge monster, restrained impact, 0.3 seconds.",0.6,false
P0,player_perform_contact_great,2,single_prompt,Clearer and richer successful contact for a Great judgment.,"Bright cyan magic strike hits a huge monster, punchy layered impact, 0.4 seconds.",0.8,false
P0,player_perform_contact_perfect,3,single_prompt,"Strongest successful contact, still short enough not to mask the next beat.","Powerful cyan-gold energy strike hits a giant boss, brilliant clean impact, 0.5 seconds.",1,false
P0,player_perform_flub,3,single_prompt,"Dry, unmistakable miss/off-window response with no triumphant tail.","Weak sputtering energy pluck, failed magic attack, dry, 0.25 seconds.",0.5,false
P0,player_reposition_select,2,single_prompt,Confirms retreat/advance choice before travel begins.,"Quick tactical selection ping with a subtle energy whoosh, clean, 0.2 seconds.",0.4,false
P0,player_dash_retreat,2,single_prompt,Directionally distinct travel gestures; readable without relying on stereo pan.,"Fast backward spectral dash whoosh, airy energy trail, 0.45 seconds.",0.9,false
P0,player_dash_advance,2,single_prompt,Directionally distinct travel gestures; readable without relying on stereo pan.,"Fast forward spectral dash whoosh, forceful energy surge, 0.45 seconds.",0.9,false
P0,player_anchor_arrive,2,single_prompt,Confirms physical arrival at any anchor with a consistent player-owned sound.,"Light armored landing with a compact magical energy settle, dry, 0.35 seconds.",0.7,false
P0,boss_sweep_warn,1,single_prompt,"Unique onset identifying the first, path/sweep-style attack.","Ominous monster weapon scrape expanding into a broad sweep warning, 0.7 seconds.",1.4,false
P0,boss_sweep_charge_loop,1,single_prompt,Sustained rising danger that can be cut exactly at impact.,"Seamless dark-energy sweep charge loop, steadily rising tension, no impact, 1 second.",2,false
P0,boss_sweep_impact,2,single_prompt,Broad moving impact with a clear transient and short debris tail.,"Huge horizontal dark-energy slash impact, sharp transient and short debris tail, 0.8 seconds.",1.6,false
P0,boss_burst_warn,1,single_prompt,"Unique onset identifying the second, zone/burst-style attack.","Hollow supernatural inhale with crystalline pulses, ominous burst warning, 0.7 seconds.",1.4,false
P0,boss_burst_charge_loop,1,single_prompt,"Pulsed or inhaling danger texture, clearly unlike the sweep charge.","Seamless pulsing void-orb charge loop, inhaling rhythm, no impact, 1 second.",2,false
P0,boss_burst_impact,2,single_prompt,"Compact radial/crystalline burst, clearly unlike the sweep impact.","Compact radial void explosion with a crystalline snap and heavy center impact, 0.8 seconds.",1.6,false
P0,player_evade_success,2,single_prompt,Confirms that the chosen position avoided an impact.,"Fast magical near-miss whoosh resolving into a bright safe chime, 0.45 seconds.",0.9,false
P0,player_ward_hit,3,1_of_3,"Communicates light, medium, and heavy ward damage.","Light blow absorbed by a cyan magical shield, small glassy tick, 0.25 seconds.",0.5,false
P0,player_ward_hit,3,2_of_3,"Communicates light, medium, and heavy ward damage.","Solid blow absorbed by a cyan magical shield, glassy crack and energy thump, 0.4 seconds.",0.8,false
P0,player_ward_hit,3,3_of_3,"Communicates light, medium, and heavy ward damage.","Massive blow absorbed by a cyan magical shield, deep thump and violent fracture, 0.55 seconds.",1.1,false
P0,player_ward_crack,1,single_prompt,One-time low-ward warning; it must not loop or become an alarm.,"Single ominous magical shield fracture, crystalline stress and fading energy, 0.7 seconds.",1.4,false
P0,player_ward_break,1,single_prompt,Immediate ward-loss defeat transition.,"Cyan energy shield shatters violently, crystalline burst and low collapse, 0.9 seconds.",1.8,false
P0,boss_hit,3,single_prompt,Short randomized reactions for successful performance contact.,"Giant supernatural monster struck by bright magic, heavy body-energy impact, 0.4 seconds.",0.8,false
P0,boss_stagger_open,1,single_prompt,Announces a boss opening and creates space for the next phrase.,"Massive monster staggers, armor groan and collapsing dark aura, clear opening cue, 0.9 seconds.",1.8,false
P0,phrase_complete,2,single_prompt,Confirms a completed phrase without duplicating the result sting.,"Bright magical resolve flourish, rewarding, compact, nonmelodic, 0.5 seconds.",1,false
P0,boss_resolve_gain,3,1_of_3,"Reinforces meaningful Resolve progress, with the strongest layer reserved for high-value Spotlight play.","Small crack forms in a dark magical barrier, bright energy accent, 0.3 seconds.",0.6,false
P0,boss_resolve_gain,3,2_of_3,"Reinforces meaningful Resolve progress, with the strongest layer reserved for high-value Spotlight play.","Dark magical barrier weakens with a sharp energy fracture, 0.45 seconds.",0.9,false
P0,boss_resolve_gain,3,3_of_3,"Reinforces meaningful Resolve progress, with the strongest layer reserved for high-value Spotlight play.","Dark magical barrier ruptures under cyan-gold energy, powerful fracture accent, 0.6 seconds.",1.2,false
P0,final_resolve_success,1,single_prompt,Locks the final-cadence victory condition before the visual climax.,"Supernatural boss seal breaks decisively, triumphant cyan-gold rupture, 1 second, no melody.",2,false
P0,final_resolve_failure,1,single_prompt,Distinct failed-seal outcome when ward remains but Resolve is insufficient.,"Ritual seal sputters and collapses unresolved, dark descending energy, 1 second, no melody.",2,false
P1,arena_intro_rift,1,single_prompt,Short encounter reveal layered under the boss entrance.,"Supernatural arena rift tears open, deep air pull and violet crackle, 2 seconds, no music.",4,true
P1,boss_intro_vocal,2,single_prompt,Boss identity without a long spoken line or music-like melody.,"Huge stylized fantasy monster awakening roar, intimidating, nonverbal, 1.5 seconds.",3,false
P1,boss_sweep_vocal,2,single_prompt,"Optional vocal layers tied to the two telegraphs, never required for recognition.","Short monster exertion growl for a sweeping attack, aggressive, nonverbal, 0.6 seconds.",1.2,false
P1,boss_burst_vocal,2,single_prompt,"Optional vocal layers tied to the two telegraphs, never required for recognition.","Short monster inhaling roar for a magical burst attack, ominous, nonverbal, 0.7 seconds.",1.4,false
P1,boss_phase_transition,1,single_prompt,Marks escalation without implying that the song has ended.,"Giant monster powers up, low roar and expanding corrupted energy, 1.8 seconds, no music.",3.6,false
P1,boss_defeat,1,single_prompt,Physical/energy collapse synchronized to the defeat animation.,"Massive supernatural monster collapses and dissolves into dark energy, heavy, 2 seconds.",4,false
P1,world_downbeat_accent,3,single_prompt,"Sparingly randomized environmental accents for selected authored downbeats, not every measure.","Subtle supernatural arena pulse, low airy thump, short and unobtrusive, 0.25 seconds.",0.5,false
P1,position_shelter_enter,1,single_prompt,Adds a world-owned layer giving the three risk states distinct sonic identities after the shared arrival sound.,"Protected stone sanctuary activates, warm low shield hum, 0.5 seconds.",1,false
P1,position_midline_enter,1,single_prompt,Adds a world-owned layer giving the three risk states distinct sonic identities after the shared arrival sound.,"Balanced magical arena anchor activates, neutral energy chime, 0.5 seconds.",1,false
P1,position_spotlight_enter,1,single_prompt,Adds a world-owned layer giving the three risk states distinct sonic identities after the shared arrival sound.,"Exposed high-risk spotlight ignites, bright dangerous electric shimmer, 0.5 seconds.",1,false
P1,result_victory_sting,1,single_prompt,Brief outcome punctuation designed after the song segment and final cadence are chosen.,"Short triumphant supernatural combat sting, cyan-gold energy, no vocals, under 2 seconds.",4,false
P1,result_defeat_sting,1,single_prompt,Brief outcome punctuation designed after the song segment and final cadence are chosen.,"Short dark failed-battle sting, unresolved energy collapse, no vocals, under 2 seconds.",4,false
P1,ui_move,2,single_prompt,"Arena setup, pause, retry, and result navigation; existing suitable UI sounds may be reused.","Tiny neutral spectral interface tick, crisp and soft, 0.1 seconds.",0.2,false
P1,ui_confirm,2,single_prompt,"Arena setup, pause, retry, and result navigation; existing suitable UI sounds may be reused.","Clean bright spectral confirmation chime, short, 0.25 seconds.",0.5,false
P1,ui_back,1,single_prompt,"Arena setup, pause, retry, and result navigation; existing suitable UI sounds may be reused.","Soft descending spectral interface whoosh, brief, 0.2 seconds.",0.4,false
P1,ui_error,1,single_prompt,"Arena setup, pause, retry, and result navigation; existing suitable UI sounds may be reused.","Muted distorted spectral interface buzz, clear but not harsh, 0.25 seconds.",0.5,false
